globalid,plot_no,slope_and_,alive,stressed,dead,notes,parentglob,CreationDa,Creator,EditDate,Editor,missing,tally
{FDDAE012-36AF-4F3D-ADFA-6F50BD913E4B},39.000000000000000, ,25.000000000000000,8.000000000000000,17.000000000000000,About 50/50,{6D04DD2F-49BD-4664-8E38-0E9411783A44},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,0.000000000000000,50
{795F9D8B-ECA6-4EC3-B49B-AF64F97B4F51},38.000000000000000, ,35.000000000000000,10.000000000000000,4.000000000000000, ,{C3E16B30-62F5-4654-B6EE-5BF6FD0DDC1C},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,1.000000000000000,50
{DD150B7C-774E-4076-94E5-900A3A97D4CB},7.000000000000000, ,39.000000000000000,8.000000000000000,1.000000000000000,Trees look quite good,{0E391322-8971-4C08-B63E-B96398E04101},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,2.000000000000000,50
{1801B4AF-7125-4C5F-97A8-E89C0F009431},14.000000000000000, ,36.000000000000000,7.000000000000000,7.000000000000000,Decently healthy in general,{3351B05B-1196-4CB6-8887-8E3370C443A9},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,0.000000000000000,50
{E2EBA421-791A-4858-A20D-4283874A1304},14.100000000000000, ,24.000000000000000,6.000000000000000,20.000000000000000,Patchy area added in,{37C09236-1084-4A29-AE35-19145C6C3468},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,0.000000000000000,50
{ABB2B879-F041-469A-96AC-BF37211A73B5},3.000000000000000, ,38.000000000000000,5.000000000000000,5.000000000000000,Trees looking good,{4460D08D-DDB5-4E73-84DC-6185E35AF08A},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,2.000000000000000,50
{F19423D2-F554-4255-9BB7-3D61128C80FA},1.000000000000000, ,38.000000000000000,3.000000000000000,9.000000000000000, ,{5C614D69-9650-431F-A1C4-9ED987F29293},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,0.000000000000000,50
{F69FB7D4-07B8-4698-A937-AEA82F19E1F0},4.000000000000000, ,40.000000000000000,4.000000000000000,6.000000000000000,Moved plot out of wetland area,{103FC940-FCE1-466C-B985-CF3B736CC110},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,0.000000000000000,50
{CAD9EC14-A05A-49C5-925B-3BD9BF07D917},6.000000000000000, ,41.000000000000000,4.000000000000000,4.000000000000000,Some of the heavier grass starting to cover the occasional tree,{F8B9DCAA-F0D2-4D62-876F-51035357D9A3},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,1.000000000000000,50
{29E3B4B6-8E68-430C-81D2-0AE843F09C4A},8.000000000000000, ,40.000000000000000,7.000000000000000,3.000000000000000, ,{8D4612D6-ECEC-460D-B0C6-00239153DC82},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,0.000000000000000,50
{F1158603-D40C-468C-A649-C088DBEBE52B},37.000000000000000, ,41.000000000000000,7.000000000000000,2.000000000000000, ,{A8D45CFE-6B40-48FF-827F-8241C53AF8F6},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,0.000000000000000,50
{99B013AB-83C7-4D80-A9A4-ADFF28861B8C},10.000000000000000, ,38.000000000000000,5.000000000000000,6.000000000000000, ,{1655F692-A72B-4668-8621-8F9C5AC1B097},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,1.000000000000000,50
{D7D20862-1737-44DA-85A0-D8FC155D33D9},11.000000000000000, ,39.000000000000000,4.000000000000000,5.000000000000000,"Due to late release on some of area, long grass has smothered some trees",{9B24780A-E7DA-43E9-B042-15A39D6DFBE2},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,2.000000000000000,50
{F57BEEE9-653F-4A30-94D1-CEA52CDA63D9},2.000000000000000, ,30.000000000000000,4.000000000000000,15.000000000000000,Area with dead are within rocky area in plot,{4980B285-1BA7-42C4-AA4D-2ED40BBADF51},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,1.000000000000000,50
{CEBF25A6-F0A3-48E5-855F-62A3FA727690},5.000000000000000, ,32.000000000000000,4.000000000000000,8.000000000000000, ,{E912CC42-4284-4BC6-B11A-1B8DAE5A6E29},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,6.000000000000000,50
{FC0815BE-E8FC-454D-B979-15361DFD63C0},9.000000000000000, ,37.000000000000000,8.000000000000000,4.000000000000000, ,{E62F935E-8382-4648-A331-EBFBD00A4EC5},11/03/2025 0:00:00, ,11/03/2025 0:00:00, ,1.000000000000000,50
{4054052E-B4A7-45F0-8702-8C456CCAE158},29.100000000000001, ,10.000000000000000,11.000000000000000,25.000000000000000,"Whole top area of block looks dead, hence the extra plot here",{F4EA0F19-71A1-4550-9693-6CA194BB92C8},12/03/2025 0:00:00, ,12/03/2025 0:00:00, ,4.000000000000000,50
{BB12EAED-2F94-478E-86E6-E3E54D837C77},29.000000000000000, ,27.000000000000000,5.000000000000000,18.000000000000000,Mixed bag of alive and dead,{8F623DA3-CC75-4004-9153-7BE053E172DD},12/03/2025 0:00:00, ,12/03/2025 0:00:00, ,0.000000000000000,50
{C7500F45-9387-4381-A399-B5C25EE6F16B},15.000000000000000, ,43.000000000000000,4.000000000000000,3.000000000000000, ,{B2D31ECB-027E-48FD-9D2C-B78EE9EA1B6F},12/03/2025 0:00:00, ,12/03/2025 0:00:00, ,0.000000000000000,50
{0A43B442-0CA1-4906-894A-C9F7113A6CE8},16.000000000000000, ,19.000000000000000,11.000000000000000,19.000000000000000, ,{0A2AF5D0-255F-480E-AE6E-A06F24DF23D7},12/03/2025 0:00:00, ,12/03/2025 0:00:00, ,1.000000000000000,50
{30532F11-ED5D-4154-93FB-4278F8A67051},23.000000000000000, ,33.000000000000000,8.000000000000000,9.000000000000000,"Some sign of pests nibbling on seedlings in this area.
Dead trees in area show no signs of growth since planting",{DF18905A-2D16-4886-9C52-60A7527A24CB},12/03/2025 0:00:00, ,12/03/2025 0:00:00, ,0.000000000000000,50
